transaction_date,owner,ticker,asset_type,amount,senator
04/26/2019,Self,LH,Stock,"$50,001 - $100,000",James M Inhofe
04/16/2019,Self,CLR,Stock,"$15,001 - $50,000",James M Inhofe
04/18/2019,Spouse,--,Corporate Bond,"$15,001 - $50,000",Thomas R Carper
04/18/2019,Spouse,--,Corporate Bond,"$15,001 - $50,000",Thomas R Carper
04/17/2019,Spouse,QCOM,Stock,"$1,001 - $15,000",Thomas R Carper
04/17/2019,Spouse,SWKS,Stock,"$1,001 - $15,000",Thomas R Carper
04/25/2019,Self,KDP,Stock,"$15,001 - $50,000",John Hoeven
04/17/2019,Self,--,Corporate Bond,"$15,001 - $50,000",Gary C Peters
03/29/2019,Self,--,Municipal Security,"$1,001 - $15,000",Gary C Peters
03/29/2019,Spouse,--,Corporate Bond,"$15,001 - $50,000",Thomas R Carper
03/29/2019,Spouse,--,Corporate Bond,"$15,001 - $50,000",Thomas R Carper
03/28/2019,Spouse,--,Corporate Bond,"$15,001 - $50,000",Thomas R Carper
03/28/2019,Spouse,--,Corporate Bond,"$15,001 - $50,000",Thomas R Carper
03/20/2019,Spouse,--,Stock,"$1,001 - $15,000",Thomas R Carper
03/20/2019,Spouse,--,Stock,"$1,001 - $15,000",Thomas R Carper
04/09/2019,Joint,ABT,Stock,"$250,001 - $500,000",Tina Smith
12/18/2018,Joint,GE,Stock,"$15,001 - $50,000",Thomas Udall
04/10/2018,Self,CBS,Stock,"$1,001 - $15,000",Thomas Udall
03/11/2019,Spouse,V,Stock,"$1,001 - $15,000",Shelley M Capito
03/11/2019,Spouse,TSM,Stock,"$1,001 - $15,000",Shelley M Capito
03/11/2019,Spouse,SFTBY,Stock,"$1,001 - $15,000",Shelley M Capito
03/11/2019,Spouse,SRE,Stock,"$1,001 - $15,000",Shelley M Capito
03/11/2019,Spouse,RDS-B,Stock,"$1,001 - $15,000",Shelley M Capito
03/11/2019,Spouse,SLB,Stock,"$1,001 - $15,000",Shelley M Capito
03/11/2019,Spouse,RBGLY,Stock,"$1,001 - $15,000",Shelley M Capito
03/11/2019,Spouse,PM,Stock,"$1,001 - $15,000",Shelley M Capito
03/11/2019,Spouse,PDRDY,Stock,"$1,001 - $15,000",Shelley M Capito
03/11/2019,Spouse,AVGO,Stock,"$1,001 - $15,000",Shelley M Capito
03/11/2019,Spouse,LRLCY,Stock,"$1,001 - $15,000",Shelley M Capito
03/11/2019,Spouse,NVO,Stock,"$1,001 - $15,000",Shelley M Capito
03/11/2019,Spouse,MRAAY,Stock,"$1,001 - $15,000",Shelley M Capito
03/11/2019,Spouse,NSRGY,Stock,"$1,001 - $15,000",Shelley M Capito
03/11/2019,Spouse,NPSNY,Stock,"$1,001 - $15,000",Shelley M Capito
03/11/2019,Spouse,JPM,Stock,"$1,001 - $15,000",Shelley M Capito
03/11/2019,Spouse,MCO,Stock,"$1,001 - $15,000",Shelley M Capito
03/11/2019,Spouse,MDLZ,Stock,"$1,001 - $15,000",Shelley M Capito
03/11/2019,Spouse,MSFT,Stock,"$1,001 - $15,000",Shelley M Capito
03/11/2019,Spouse,LVS,Stock,"$1,001 - $15,000",Shelley M Capito
03/11/2019,Spouse,KYCCF,Stock,"$1,001 - $15,000",Shelley M Capito
03/11/2019,Spouse,ICE,Stock,"$1,001 - $15,000",Shelley M Capito
03/11/2019,Spouse,INTC,Stock,"$1,001 - $15,000",Shelley M Capito
03/11/2019,Spouse,SAFRY,Stock,"$1,001 - $15,000",Shelley M Capito
03/11/2019,Spouse,HLT,Stock,"$1,001 - $15,000",Shelley M Capito
03/11/2019,Spouse,GDDY,Stock,"$1,001 - $15,000",Shelley M Capito
03/11/2019,Spouse,GILD,Stock,"$1,001 - $15,000",Shelley M Capito
03/11/2019,Spouse,ESLOY,Stock,"$1,001 - $15,000",Shelley M Capito
03/11/2019,Spouse,ENB,Stock,"$1,001 - $15,000",Shelley M Capito
03/11/2019,Spouse,DEO,Stock,"$1,001 - $15,000",Shelley M Capito
03/11/2019,Spouse,DE,Stock,"$1,001 - $15,000",Shelley M Capito
03/11/2019,Spouse,DHR,Stock,"$1,001 - $15,000",Shelley M Capito
03/11/2019,Spouse,CCI,Stock,"$1,001 - $15,000",Shelley M Capito
03/11/2019,Spouse,CVX,Stock,"$1,001 - $15,000",Shelley M Capito
03/11/2019,Spouse,CABGY,Stock,"$1,001 - $15,000",Shelley M Capito
03/11/2019,Spouse,CSX,Stock,"$1,001 - $15,000",Shelley M Capito
03/11/2019,Spouse,CME,Stock,"$1,001 - $15,000",Shelley M Capito
03/11/2019,Spouse,BK,Stock,"$1,001 - $15,000",Shelley M Capito
03/11/2019,Spouse,ASML,Stock,"$1,001 - $15,000",Shelley M Capito
03/11/2019,Spouse,AZN,Stock,"$1,001 - $15,000",Shelley M Capito
03/11/2019,Spouse,AHKSY,Stock,"$1,001 - $15,000",Shelley M Capito
03/11/2019,Spouse,AAPL,Stock,"$1,001 - $15,000",Shelley M Capito
03/11/2019,Spouse,AMT,Stock,"$1,001 - $15,000",Shelley M Capito
03/11/2019,Spouse,AMZN,Stock,"$1,001 - $15,000",Shelley M Capito
03/11/2019,Spouse,GOOG,Stock,"$1,001 - $15,000",Shelley M Capito
03/11/2019,Spouse,EADSY,Stock,"$1,001 - $15,000",Shelley M Capito
03/11/2019,Spouse,ATVI,Stock,"$1,001 - $15,000",Shelley M Capito
03/11/2019,Spouse,AAGIY,Stock,"$1,001 - $15,000",Shelley M Capito
03/04/2019,Self,KO,Stock,"$1,001 - $15,000",Shelley M Capito
03/22/2019,Spouse,--,Municipal Security,"$100,001 - $250,000",Rick Scott
03/22/2019,Spouse,--,Municipal Security,"$500,001 - $1,000,000",Rick Scott
03/22/2019,Spouse,--,Municipal Security,"$250,001 - $500,000",Rick Scott
03/22/2019,Spouse,--,Municipal Security,"$500,001 - $1,000,000",Rick Scott
03/22/2019,Spouse,--,Municipal Security,"$500,001 - $1,000,000",Rick Scott
03/15/2019,Spouse,BA,Stock,"$1,001 - $15,000",Sheldon Whitehouse
03/22/2019,Spouse,BIIB,Stock,"$1,001 - $15,000",Sheldon Whitehouse
03/15/2019,Joint,BA,Stock,"$15,001 - $50,000",Sheldon Whitehouse
04/09/2019,Self,--,Non-Public Stock,"$15,001 - $50,000",John Hoeven
12/19/2018,Spouse,--,Corporate Bond,"$15,001 - $50,000",Thomas R Carper
12/19/2018,Spouse,--,Corporate Bond,"$15,001 - $50,000",Thomas R Carper
12/17/2018,Self,--,Other Securities,"$1,001 - $15,000",Thomas R Carper
12/17/2018,Spouse,--,Corporate Bond,"$15,001 - $50,000",Thomas R Carper
12/10/2018,Spouse,--,Stock,"$1,001 - $15,000",Thomas R Carper
05/01/2018,Spouse,--,Stock,"$1,001 - $15,000",Thomas R Carper
03/08/2019,Self,XSLV,Stock,"$50,001 - $100,000",John Hoeven
03/22/2019,Self,PRNHX,Stock,"$50,001 - $100,000",John Hoeven
03/22/2019,Self,FLMVX,Stock,"$50,001 - $100,000",John Hoeven
03/22/2019,Self,FCNTX,Stock,"$50,001 - $100,000",John Hoeven
03/22/2019,Self,TGT,Stock,"$50,001 - $100,000",John Hoeven
03/22/2019,Self,MET,Stock,"$50,001 - $100,000",John Hoeven
03/22/2019,Self,IVZ,Stock,"$50,001 - $100,000",John Hoeven
03/22/2019,Self,KDP,Stock,"$50,001 - $100,000",John Hoeven
03/22/2019,Self,CCI,Stock,"$50,001 - $100,000",John Hoeven
03/20/2019,Joint,DIS,Stock,"$15,001 - $50,000","David A Perdue , Jr"
03/20/2019,Joint,DIS,Stock,"$15,001 - $50,000","David A Perdue , Jr"
04/05/2019,Joint,FDX,Stock,"$1,001 - $15,000","David A Perdue , Jr"
04/05/2019,Joint,--,Stock,"$1,001 - $15,000","David A Perdue , Jr"
04/05/2019,Joint,BWXT,Stock,"$1,001 - $15,000","David A Perdue , Jr"
04/03/2019,Joint,LYV,Stock,"$1,001 - $15,000","David A Perdue , Jr"
04/03/2019,Joint,MOS,Stock,"$1,001 - $15,000","David A Perdue , Jr"
04/03/2019,Joint,FDX,Stock,"$1,001 - $15,000","David A Perdue , Jr"
04/02/2019,Joint,FDX,Stock,"$15,001 - $50,000","David A Perdue , Jr"
04/02/2019,Joint,LYV,Stock,"$1,001 - $15,000","David A Perdue , Jr"
04/02/2019,Joint,FDC,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/13/2019,Joint,AM,Stock,"$15,001 - $50,000","David A Perdue , Jr"
03/29/2019,Joint,FDX,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/29/2019,Joint,FDX,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/28/2019,Joint,MOS,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/28/2019,Joint,FDX,Stock,"$15,001 - $50,000","David A Perdue , Jr"
03/28/2019,Joint,FDX,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/28/2019,Joint,MOS,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/28/2019,Joint,KMI,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/28/2019,Joint,FDX,Stock,"$15,001 - $50,000","David A Perdue , Jr"
03/26/2019,Joint,BKNG,Stock,"$15,001 - $50,000","David A Perdue , Jr"
03/25/2019,Joint,MSFT,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/25/2019,Joint,CSCO,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/25/2019,Joint,ORCL,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/25/2019,Joint,GOOG,Stock,"$15,001 - $50,000","David A Perdue , Jr"
03/21/2019,Joint,IBM,Stock,"$15,001 - $50,000","David A Perdue , Jr"
03/19/2019,Joint,BWXT,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/19/2019,Joint,ET,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/19/2019,Joint,BWXT,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/19/2019,Joint,MPLX,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/18/2019,Joint,TRGP,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/18/2019,Joint,WES,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/13/2019,Joint,FDC,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/08/2019,Joint,FDC,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/07/2019,Joint,TRP,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/07/2019,Joint,FDC,Stock,"$15,001 - $50,000","David A Perdue , Jr"
03/07/2019,Joint,TRP,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/06/2019,Joint,TRP,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/01/2019,Joint,BWXT,Stock,"$1,001 - $15,000","David A Perdue , Jr"
03/31/2019,Self,--,Non-Public Stock,"$250,001 - $500,000",Mike Rounds
03/19/2019,Joint,RPM,Stock,"$50,001 - $100,000",Daniel S Sullivan
03/01/2019,Self,--,Other Securities,"$100,001 - $250,000",Michael F Bennet
03/29/2019,Spouse,--,Corporate Bond,"$15,001 - $50,000",Thomas R Carper
03/29/2019,Spouse,--,Corporate Bond,"$15,001 - $50,000",Thomas R Carper
03/28/2019,Spouse,--,Corporate Bond,"$15,001 - $50,000",Thomas R Carper
03/28/2019,Spouse,--,Corporate Bond,"$15,001 - $50,000",Thomas R Carper
03/20/2019,Spouse,--,Stock,"$1,001 - $15,000",Thomas R Carper
03/20/2019,Spouse,--,Stock,"$1,001 - $15,000",Thomas R Carper
02/01/2019,Self,ANCX,Stock,"$1,001 - $15,000",Shelley M Capito
03/01/2019,Self,DHR,Stock,"$15,001 - $50,000",James M Inhofe
02/27/2019,Spouse,NFLX,Stock,"$1,001 - $15,000",Sheldon Whitehouse
02/27/2019,Joint,T,Stock,"$1,001 - $15,000",Sheldon Whitehouse
02/27/2019,Joint,FB,Stock,"$15,001 - $50,000",Sheldon Whitehouse
02/27/2019,Joint,NSRGY,Stock,"$15,001 - $50,000",Sheldon Whitehouse
02/27/2019,Joint,PEP,Stock,"$1,001 - $15,000",Sheldon Whitehouse
02/27/2019,Joint,PG,Stock,"$1,001 - $15,000",Sheldon Whitehouse
02/12/2019,Self,HAS,Stock,"$15,001 - $50,000",Sheldon Whitehouse
03/08/2019,Self,XSLV,Other Securities,"$50,001 - $100,000",John Hoeven
02/28/2019,Self,XLNX,Stock,"$15,001 - $50,000",John F Reed
02/28/2019,Self,TMO,Stock,"$1,001 - $15,000",John F Reed
02/28/2019,Self,SYK,Stock,"$15,001 - $50,000",John F Reed
02/28/2019,Self,SLB,Stock,"$1,001 - $15,000",John F Reed
02/28/2019,Self,QCOM,Stock,"$15,001 - $50,000",John F Reed
02/28/2019,Self,PEP,Stock,"$1,001 - $15,000",John F Reed
02/28/2019,Self,MSFT,Stock,"$1,001 - $15,000",John F Reed
02/28/2019,Self,ISRG,Stock,"$1,001 - $15,000",John F Reed
02/28/2019,Self,INTC,Stock,"$1,001 - $15,000",John F Reed
02/28/2019,Self,IQV,Stock,"$1,001 - $15,000",John F Reed
02/28/2019,Self,HOLX,Stock,"$1,001 - $15,000",John F Reed
02/28/2019,Self,FDX,Stock,"$1,001 - $15,000",John F Reed
02/28/2019,Self,DHR,Stock,"$1,001 - $15,000",John F Reed
02/28/2019,Self,COST,Stock,"$1,001 - $15,000",John F Reed
02/28/2019,Self,CELG,Stock,"$1,001 - $15,000",John F Reed
02/28/2019,Self,CVS,Stock,"$1,001 - $15,000",John F Reed
02/28/2019,Self,AAPL,Stock,"$15,001 - $50,000",John F Reed
02/28/2019,Self,ADI,Stock,"$1,001 - $15,000",John F Reed
02/28/2019,Joint,XLNX,Stock,"$1,001 - $15,000",John F Reed
02/28/2019,Joint,TMO,Stock,"$1,001 - $15,000",John F Reed
02/28/2019,Joint,SYK,Stock,"$1,001 - $15,000",John F Reed
02/28/2019,Joint,IQV,Stock,"$1,001 - $15,000",John F Reed
02/28/2019,Joint,FDX,Stock,"$1,001 - $15,000",John F Reed
02/28/2019,Joint,AAPL,Stock,"$1,001 - $15,000",John F Reed
02/28/2019,Joint,ADI,Stock,"$1,001 - $15,000",John F Reed
02/21/2019,Self,--,Corporate Bond,"$1,001 - $15,000",Gary C Peters
03/07/2019,Spouse,--,Municipal Security,"$1,000,001 - $5,000,000",Rick Scott
02/27/2019,Spouse,--,Municipal Security,"$100,001 - $250,000",Rick Scott
02/22/2019,Spouse,--,Municipal Security,"$1,000,001 - $5,000,000",Rick Scott
02/22/2019,Spouse,--,Municipal Security,"$250,001 - $500,000",Rick Scott
02/27/2019,Spouse,--,Municipal Security,"$500,001 - $1,000,000",Rick Scott
02/22/2019,Spouse,--,Municipal Security,"$1,000,001 - $5,000,000",Rick Scott
02/22/2019,Spouse,--,Municipal Security,"$250,001 - $500,000",Rick Scott
02/27/2019,Spouse,--,Municipal Security,"$500,001 - $1,000,000",Rick Scott
02/22/2019,Self,--,Municipal Security,"$250,001 - $500,000",Rick Scott
02/13/2019,Spouse,--,Municipal Security,"$250,001 - $500,000",Rick Scott
02/13/2019,Spouse,--,Municipal Security,"$500,001 - $1,000,000",Rick Scott
02/20/2019,Self,ZAYO,Stock,"$250,001 - $500,000",Mark R Warner
02/19/2019,Self,ZAYO,Stock,"$500,001 - $1,000,000",Mark R Warner
02/19/2019,Self,CHTR,Stock,"$1,000,001 - $5,000,000",Mark R Warner
02/27/2019,Self,LYB,Stock,"$50,001 - $100,000",John Hoeven
03/05/2019,Spouse,WFC,Stock,"$1,001 - $15,000","A. Mitchell McConnell, Jr."
02/27/2019,Joint,WGP,Stock,"$15,001 - $50,000","David A Perdue , Jr"
02/13/2019,Joint,BOIVF,Stock,"$1,001 - $15,000","David A Perdue , Jr"
02/27/2019,Joint,BWXT,Stock,"$1,001 - $15,000","David A Perdue , Jr"
02/27/2019,Joint,BWXT,Stock,"$1,001 - $15,000","David A Perdue , Jr"
02/27/2019,Joint,TRGP,Stock,"$1,001 - $15,000","David A Perdue , Jr"
02/27/2019,Joint,LNG,Stock,"$1,001 - $15,000","David A Perdue , Jr"
02/26/2019,Joint,BWXT,Stock,"$15,001 - $50,000","David A Perdue , Jr"
02/25/2019,Joint,UHAL,Stock,"$1,001 - $15,000","David A Perdue , Jr"
02/25/2019,Joint,PEP,Stock,"$15,001 - $50,000","David A Perdue , Jr"
02/25/2019,Joint,AVP,Stock,"$1,001 - $15,000","David A Perdue , Jr"
02/25/2019,Joint,STT,Stock,"$1,001 - $15,000","David A Perdue , Jr"
02/25/2019,Joint,PG,Stock,"$15,001 - $50,000","David A Perdue , Jr"
02/25/2019,Joint,FOX,Stock,"$1,001 - $15,000","David A Perdue , Jr"
02/25/2019,Joint,KO,Stock,"$1,001 - $15,000","David A Perdue , Jr"
02/25/2019,Joint,UN,Stock,"$1,001 - $15,000","David A Perdue , Jr"
02/25/2019,Joint,CSCO,Stock,"$15,001 - $50,000","David A Perdue , Jr"
02/25/2019,Joint,SYY,Stock,"$1,001 - $15,000","David A Perdue , Jr"
02/25/2019,Joint,FOXA,Stock,"$1,001 - $15,000","David A Perdue , Jr"
02/25/2019,Joint,ORCL,Stock,"$1,001 - $15,000","David A Perdue , Jr"
02/25/2019,Joint,MSFT,Stock,"$15,001 - $50,000","David A Perdue , Jr"
02/25/2019,Joint,COP,Stock,"$1,001 - $15,000","David A Perdue , Jr"
02/25/2019,Joint,ANTM,Stock,"$1,001 - $15,000","David A Perdue , Jr"
02/25/2019,Joint,ACA,Stock,"$1,001 - $15,000","David A Perdue , Jr"
02/25/2019,Joint,INFY,Stock,"$1,001 - $15,000","David A Perdue , Jr"
02/25/2019,Joint,MU,Stock,"$1,001 - $15,000","David A Perdue , Jr"
02/25/2019,Joint,CLX,Stock,"$1,001 - $15,000","David A Perdue , Jr"
02/25/2019,Joint,BRK-B,Stock,"$1,001 - $15,000","David A Perdue , Jr"
02/25/2019,Joint,WFC,Stock,"$1,001 - $15,000","David A Perdue , Jr"
02/19/2019,Joint,TRGP,Stock,"$15,001 - $50,000","David A Perdue , Jr"
02/19/2019,Joint,GLW,Stock,"$1,001 - $15,000","David A Perdue , Jr"
02/19/2019,Joint,MRK,Stock,"$15,001 - $50,000","David A Perdue , Jr"
02/19/2019,Joint,MOS,Stock,"$15,001 - $50,000","David A Perdue , Jr"
02/19/2019,Joint,HBI,Stock,"$15,001 - $50,000","David A Perdue , Jr"
02/19/2019,Joint,ENTG,Stock,"$1,001 - $15,000","David A Perdue , Jr"
02/19/2019,Joint,GM,Stock,"$15,001 - $50,000","David A Perdue , Jr"
02/15/2019,Joint,--,Municipal Security,"$250,001 - $500,000","David A Perdue , Jr"
02/13/2019,Joint,--,Municipal Security,"$250,001 - $500,000","David A Perdue , Jr"
02/13/2019,Joint,--,Municipal Security,"$250,001 - $500,000","David A Perdue , Jr"
02/12/2019,Joint,PG,Stock,"$15,001 - $50,000","David A Perdue , Jr"
02/11/2019,Joint,WPX,Stock,"$1,001 - $15,000","David A Perdue , Jr"
02/08/2019,Joint,BOIVF,Stock,"$1,001 - $15,000","David A Perdue , Jr"
02/08/2019,Joint,FDC,Stock,"$1,001 - $15,000","David A Perdue , Jr"
02/08/2019,Joint,LGF-B,Stock,"$1,001 - $15,000","David A Perdue , Jr"
02/07/2019,Joint,OKE,Stock,"$1,001 - $15,000","David A Perdue , Jr"
02/07/2019,Joint,PAGP,Stock,"$1,001 - $15,000","David A Perdue , Jr"
02/07/2019,Joint,FDC,Stock,"$1,001 - $15,000","David A Perdue , Jr"
02/07/2019,Joint,FEYE,Stock,"$1,001 - $15,000","David A Perdue , Jr"
02/07/2019,Joint,FEYE,Stock,"$1,001 - $15,000","David A Perdue , Jr"
02/07/2019,Joint,BOIVF,Stock,"$1,001 - $15,000","David A Perdue , Jr"
02/07/2019,Joint,PAGP,Stock,"$1,001 - $15,000","David A Perdue , Jr"
02/07/2019,Joint,AM,Stock,"$1,001 - $15,000","David A Perdue , Jr"
02/06/2019,Joint,WPX,Stock,"$1,001 - $15,000","David A Perdue , Jr"
02/06/2019,Joint,T,Stock,"$1,001 - $15,000","David A Perdue , Jr"
02/05/2019,Joint,T,Stock,"$15,001 - $50,000","David A Perdue , Jr"
02/05/2019,Joint,FDC,Stock,"$15,001 - $50,000","David A Perdue , Jr"
02/05/2019,Joint,T,Stock,"$1,001 - $15,000","David A Perdue , Jr"
02/05/2019,Joint,WPX,Stock,"$1,001 - $15,000","David A Perdue , Jr"
02/05/2019,Joint,WPX,Stock,"$1,001 - $15,000","David A Perdue , Jr"
02/04/2019,Joint,MPLX,Stock,"$1,001 - $15,000","David A Perdue , Jr"
02/01/2019,Joint,FDC,Stock,"$15,001 - $50,000","David A Perdue , Jr"
02/01/2019,Joint,WPX,Stock,"$1,001 - $15,000","David A Perdue , Jr"
02/01/2019,Joint,BOIVF,Stock,"$1,001 - $15,000","David A Perdue , Jr"
02/01/2019,Joint,T,Stock,"$15,001 - $50,000","David A Perdue , Jr"
02/01/2019,Joint,ET,Stock,"$1,001 - $15,000","David A Perdue , Jr"
02/25/2019,Spouse,--,Stock,"$1,001 - $15,000",Thomas R Carper
02/25/2019,Spouse,--,Stock,"$1,001 - $15,000",Thomas R Carper
02/25/2019,Spouse,--,Stock,"$1,001 - $15,000",Thomas R Carper
02/25/2019,Spouse,--,Stock,"$1,001 - $15,000",Thomas R Carper
02/25/2019,Spouse,--,Other Securities,"$1,001 - $15,000",Thomas R Carper
02/25/2019,Spouse,--,Other Securities,"$1,001 - $15,000",Thomas R Carper
02/25/2019,Spouse,--,Other Securities,"$1,001 - $15,000",Thomas R Carper
02/25/2019,Spouse,--,Other Securities,"$15,001 - $50,000",Thomas R Carper
02/20/2019,Spouse,--,Other Securities,"$1,001 - $15,000",Thomas R Carper
02/20/2019,Spouse,--,Other Securities,"$1,001 - $15,000",Thomas R Carper
02/20/2019,Spouse,--,Other Securities,"$1,001 - $15,000",Thomas R Carper
02/20/2019,Spouse,--,Stock,"$1,001 - $15,000",Thomas R Carper
02/20/2019,Spouse,--,Other Securities,"$1,001 - $15,000",Thomas R Carper
02/15/2019,Spouse,--,Corporate Bond,"$15,001 - $50,000",Thomas R Carper
02/04/2019,Joint,XLNX,Stock,"$1,001 - $15,000",John F Reed
02/04/2019,Joint,VRTX,Stock,"$1,001 - $15,000",John F Reed
02/04/2019,Joint,SYK,Stock,"$1,001 - $15,000",John F Reed
02/04/2019,Joint,QCOM,Stock,"$1,001 - $15,000",John F Reed
02/04/2019,Joint,ISRG,Stock,"$1,001 - $15,000",John F Reed
02/04/2019,Joint,INTC,Stock,"$1,001 - $15,000",John F Reed
02/04/2019,Joint,ITW,Stock,"$1,001 - $15,000",John F Reed
02/04/2019,Joint,IQV,Stock,"$1,001 - $15,000",John F Reed
02/04/2019,Joint,HON,Stock,"$1,001 - $15,000",John F Reed
02/04/2019,Joint,FDX,Stock,"$1,001 - $15,000",John F Reed
02/04/2019,Joint,DHR,Stock,"$1,001 - $15,000",John F Reed
02/04/2019,Joint,COST,Stock,"$1,001 - $15,000",John F Reed
02/04/2019,Joint,CSCO,Stock,"$1,001 - $15,000",John F Reed
02/04/2019,Joint,CVS,Stock,"$1,001 - $15,000",John F Reed
02/04/2019,Joint,AAPL,Stock,"$1,001 - $15,000",John F Reed
02/04/2019,Joint,AMGN,Stock,"$1,001 - $15,000",John F Reed
12/20/2018,Joint,CVS,Stock,"$1,001 - $15,000",Thomas R Tillis
12/20/2018,Joint,--,Other Securities,"$1,001 - $15,000",Thomas R Tillis
01/31/2019,Spouse,AMZN,Stock,"$1,001 - $15,000","Angus S King, Jr."
01/10/2019,Spouse,UTX,Stock,"$1,001 - $15,000","Angus S King, Jr."
01/10/2019,Spouse,MKC,Stock,"$1,001 - $15,000","Angus S King, Jr."
01/10/2019,Spouse,AXP,Stock,"$1,001 - $15,000","Angus S King, Jr."
02/04/2019,Self,EDIT,Stock,"$15,001 - $50,000",James M Inhofe
01/29/2019,Self,MSFT,Stock,"$15,001 - $50,000",James M Inhofe
01/25/2019,Spouse,PPG,Stock,"$1,001 - $15,000",William Cassidy
01/25/2019,Spouse,NVS,Stock,"$1,001 - $15,000",William Cassidy
01/25/2019,Spouse,MDT,Stock,"$1,001 - $15,000",William Cassidy
01/25/2019,Spouse,XOM,Stock,"$1,001 - $15,000",William Cassidy
01/25/2019,Spouse,DWDP,Stock,"$1,001 - $15,000",William Cassidy
01/25/2019,Spouse,DIS,Stock,"$1,001 - $15,000",William Cassidy
01/25/2019,Spouse,CMCSA,Stock,"$1,001 - $15,000",William Cassidy
01/25/2019,Spouse,CSCO,Stock,"$1,001 - $15,000",William Cassidy
01/25/2019,Spouse,CVS,Stock,"$1,001 - $15,000",William Cassidy
01/25/2019,Spouse,AAPL,Stock,"$1,001 - $15,000",William Cassidy
02/01/2019,Spouse,--,Municipal Security,"$500,001 - $1,000,000",Rick Scott
02/01/2019,Spouse,--,Municipal Security,"$250,001 - $500,000",Rick Scott
01/30/2019,Self,--,Municipal Security,"$100,001 - $250,000",Rick Scott
01/30/2019,Spouse,--,Municipal Security,"$500,001 - $1,000,000",Rick Scott
01/30/2019,Spouse,--,Municipal Security,"$500,001 - $1,000,000",Rick Scott
01/30/2019,Spouse,--,Municipal Security,"$100,001 - $250,000",Rick Scott
01/23/2019,Spouse,--,Municipal Security,"$1,000,001 - $5,000,000",Rick Scott
01/23/2019,Spouse,--,Municipal Security,"$500,001 - $1,000,000",Rick Scott
01/28/2019,Joint,AX,Corporate Bond,"$100,001 - $250,000",Patrick J Toomey
01/31/2019,Joint,TNTOF,Corporate Bond,"$15,001 - $50,000",Patrick J Toomey
02/01/2019,Self,--,Municipal Security,"$1,001 - $15,000",Gary C Peters
01/24/2019,Self,T,Stock,"$1,001 - $15,000",Sheldon Whitehouse
01/31/2019,Joint,MPLX,Stock,"$1,001 - $15,000","David A Perdue , Jr"
01/31/2019,Joint,T,Stock,"$1,001 - $15,000","David A Perdue , Jr"
01/31/2019,Joint,T,Stock,"$1,001 - $15,000","David A Perdue , Jr"
01/31/2019,Joint,MMP,Stock,"$1,001 - $15,000","David A Perdue , Jr"
01/31/2019,Joint,BOIVF,Stock,"$1,001 - $15,000","David A Perdue , Jr"
01/31/2019,Joint,T,Stock,"$1,001 - $15,000","David A Perdue , Jr"
01/30/2019,Joint,T,Stock,"$15,001 - $50,000","David A Perdue , Jr"
01/30/2019,Joint,T,Stock,"$15,001 - $50,000","David A Perdue , Jr"
01/29/2019,Joint,WPX,Stock,"$1,001 - $15,000","David A Perdue , Jr"
01/25/2019,Joint,FDC,Stock,"$1,001 - $15,000","David A Perdue , Jr"
01/23/2019,Joint,FDC,Stock,"$1,001 - $15,000","David A Perdue , Jr"
01/22/2019,Joint,WPX,Stock,"$1,001 - $15,000","David A Perdue , Jr"
01/18/2019,Joint,WPX,Stock,"$1,001 - $15,000","David A Perdue , Jr"
01/18/2019,Joint,WPX,Stock,"$1,001 - $15,000","David A Perdue , Jr"
01/17/2019,Joint,FDC,Stock,"$1,001 - $15,000","David A Perdue , Jr"
01/16/2019,Joint,FDC,Stock,"$15,001 - $50,000","David A Perdue , Jr"
01/15/2019,Joint,BWXT,Stock,"$1,001 - $15,000","David A Perdue , Jr"
01/09/2019,Joint,AM,Stock,"$1,001 - $15,000","David A Perdue , Jr"
01/09/2019,Joint,DVN,Stock,"$1,001 - $15,000","David A Perdue , Jr"
01/09/2019,Joint,DVN,Stock,"$1,001 - $15,000","David A Perdue , Jr"
01/09/2019,Joint,AM,Stock,"$1,001 - $15,000","David A Perdue , Jr"
01/08/2019,Joint,KN,Stock,"$1,001 - $15,000","David A Perdue , Jr"
01/08/2019,Joint,BWXT,Stock,"$1,001 - $15,000","David A Perdue , Jr"
