senator,ticker,owner,type,transaction_date
"David A Perdue , Jr",AM,Joint,Sale (Partial),1/9/2019
"David A Perdue , Jr",DVN,Joint,Purchase,1/9/2019
"David A Perdue , Jr",DVN,Joint,Purchase,1/9/2019
"David A Perdue , Jr",AM,Joint,Sale (Partial),1/9/2019
"David A Perdue , Jr",KN,Joint,Sale (Full),1/8/2019
"David A Perdue , Jr",BWXT,Joint,Purchase,1/8/2019
"David A Perdue , Jr",GPK,Joint,Purchase,1/8/2019
"David A Perdue , Jr",KN,Joint,Sale (Partial),1/7/2019
"David A Perdue , Jr",BWXT,Joint,Purchase,1/7/2019
"David A Perdue , Jr",BWXT,Joint,Purchase,1/4/2019
"David A Perdue , Jr",CZR,Joint,Purchase,1/4/2019
"David A Perdue , Jr",BWXT,Joint,Purchase,1/4/2019
"David A Perdue , Jr",DVN,Joint,Purchase,1/4/2019
"David A Perdue , Jr",KN,Joint,Sale (Partial),1/3/2019
"David A Perdue , Jr",AAPL,Joint,Purchase,1/3/2019
"David A Perdue , Jr",BWXT,Joint,Purchase,1/3/2019
"David A Perdue , Jr",WPX,Joint,Purchase,1/3/2019
Thomas R Carper,--,Spouse,Purchase,1/25/2019
Thomas R Carper,--,Spouse,Purchase,1/25/2019
Thomas R Carper,--,Spouse,Purchase,1/11/2019
Gary C Peters,--,Self,Purchase,1/4/2019
Gary C Peters,--,Self,Purchase,1/4/2019
James M Inhofe,DAL,Self,Sale (Full),1/16/2019
James M Inhofe,KMX,Self,Sale (Full),1/16/2019
James M Inhofe,BABA,Self,Sale (Full),1/16/2019
James M Inhofe,ALB,Self,Sale (Full),1/16/2019
James M Inhofe,V,Self,Sale (Partial),1/15/2019
James M Inhofe,AMZN,Self,Sale (Partial),1/15/2019
James M Inhofe,MRK,Self,Sale (Full),1/11/2019
Patrick J Toomey,CAPL,Self,Sale (Partial),8/22/2018
Patrick J Toomey,CAPL,Self,Sale (Partial),8/9/2018
Patrick J Toomey,PG,Self,Sale (Partial),8/2/2018
Shelley M Capito,GIS,Spouse,Sale (Full),12/12/2018
Shelley M Capito,PG,Spouse,Purchase,12/13/2018
Shelley M Capito,PEP,Spouse,Purchase,12/13/2018
Shelley M Capito,--,Spouse,Sale (Full),12/31/2018
John Hoeven,AAPL,Self,Purchase,1/4/2019
John Hoeven,WTW,Self,Sale (Partial),12/27/2018
John Hoeven,DWDP,Self,Sale (Full),12/27/2018
John Hoeven,TAP,Self,Sale (Full),12/27/2018
John Hoeven,IVZ,Self,Sale (Partial),12/27/2018
John Hoeven,BUD,Self,Sale (Full),12/27/2018
John Hoeven,T,Self,Sale (Partial),12/27/2018
John Hoeven,FDX,Self,Sale (Full),12/27/2018
John Hoeven,BX,Self,Purchase,12/27/2018
Thomas Udall,GE,Joint,Sale (Partial),12/18/2018
Sheldon Whitehouse,FB,Spouse,Sale (Full),12/4/2018
Sheldon Whitehouse,GS,Joint,Sale (Full),12/4/2018
Sheldon Whitehouse,ETN,Joint,Sale (Full),12/4/2018
Sheldon Whitehouse,BUD,Joint,Sale (Full),12/4/2018
Sheldon Whitehouse,REZI,Joint,Sale (Full),12/4/2018
Sheldon Whitehouse,AMZN,Joint,Purchase,12/28/2018
Sheldon Whitehouse,F,Joint,Sale (Full),12/28/2018
Sheldon Whitehouse,NVDA,Joint,Purchase,12/28/2018
Sheldon Whitehouse,T,Joint,Sale (Partial),12/28/2018
Sheldon Whitehouse,TSLA,Joint,Purchase,12/28/2018
Sheldon Whitehouse,BMY,Joint,Sale (Full),12/28/2018
Sheldon Whitehouse,C,Self,Sale (Full),12/3/2018
Sheldon Whitehouse,BUD,Self,Sale (Full),12/3/2018
Sheldon Whitehouse,REZI,Self,Sale (Full),12/3/2018
Sheldon Whitehouse,AAPL,Self,Sale (Partial),12/4/2018
Sheldon Whitehouse,UNP,Self,Sale (Partial),12/4/2018
Sheldon Whitehouse,COF,Self,Sale (Full),12/19/2018
Sheldon Whitehouse,ILMN,Self,Purchase,12/28/2018
Sheldon Whitehouse,F,Self,Sale (Full),12/28/2018
Sheldon Whitehouse,TSLA,Self,Purchase,12/28/2018
Sheldon Whitehouse,SQ,Self,Purchase,12/28/2018
James M Inhofe,XBI,Self,Purchase,12/31/2018
James M Inhofe,CELG,Self,Sale (Full),12/31/2018
James M Inhofe,TEL,Self,Purchase,12/27/2018
James M Inhofe,APTV,Self,Sale (Full),12/27/2018
James M Inhofe,XPO,Self,Sale (Full),12/13/2018
"David A Perdue , Jr",SPY,Joint,Sale (Full),12/31/2018
"David A Perdue , Jr",SPY,Joint,Sale (Partial),12/31/2018
"David A Perdue , Jr",CZR,Joint,Purchase,12/31/2018
"David A Perdue , Jr",AXTA,Joint,Purchase,12/27/2018
"David A Perdue , Jr",SPY,Joint,Sale (Partial),12/27/2018
"David A Perdue , Jr",HBI,Joint,Purchase,12/27/2018
"David A Perdue , Jr",DVN,Joint,Purchase,12/27/2018
"David A Perdue , Jr",FDC,Joint,Purchase,12/27/2018
"David A Perdue , Jr",BWXT,Joint,Purchase,12/27/2018
"David A Perdue , Jr",--,Joint,Purchase,12/27/2018
"David A Perdue , Jr",--,Joint,Purchase,12/26/2018
"David A Perdue , Jr",ACA,Joint,Purchase,12/24/2018
"David A Perdue , Jr",BWXT,Joint,Purchase,12/24/2018
"David A Perdue , Jr",LGF-B,Joint,Purchase,12/24/2018
"David A Perdue , Jr",ACA,Joint,Purchase,12/21/2018
"David A Perdue , Jr",RF,Joint,Purchase,12/21/2018
"David A Perdue , Jr",BWXT,Joint,Purchase,12/21/2018
"David A Perdue , Jr",LGF-B,Joint,Purchase,12/21/2018
"David A Perdue , Jr",PAGP,Joint,Purchase,12/21/2018
"David A Perdue , Jr",PG,Joint,Sale (Partial),12/20/2018
"David A Perdue , Jr",GPK,Joint,Purchase,12/20/2018
"David A Perdue , Jr",--,Joint,Purchase,12/20/2018
"David A Perdue , Jr",LGF-B,Joint,Purchase,12/20/2018
"David A Perdue , Jr",VLP,Joint,Sale (Full),12/20/2018
"David A Perdue , Jr",SLB,Joint,Sale (Full),12/20/2018
"David A Perdue , Jr",STT,Joint,Purchase,12/20/2018
"David A Perdue , Jr",ACA,Joint,Purchase,12/20/2018
"David A Perdue , Jr",--,Joint,Purchase,12/20/2018
"David A Perdue , Jr",BWXT,Joint,Purchase,12/20/2018
"David A Perdue , Jr",ET,Joint,Purchase,12/19/2018
"David A Perdue , Jr",LGF-B,Joint,Purchase,12/19/2018
"David A Perdue , Jr",BWXT,Joint,Purchase,12/19/2018
"David A Perdue , Jr",MU,Joint,Purchase,12/19/2018
"David A Perdue , Jr",KN,Joint,Sale (Partial),12/18/2018
"David A Perdue , Jr",VLP,Joint,Sale (Partial),12/18/2018
"David A Perdue , Jr",LGF-B,Joint,Purchase,12/17/2018
"David A Perdue , Jr",BWXT,Joint,Purchase,12/17/2018
"David A Perdue , Jr",LGF-B,Joint,Purchase,12/14/2018
"David A Perdue , Jr",SU,Joint,Purchase,12/14/2018
"David A Perdue , Jr",SLB,Joint,Sale (Partial),12/14/2018
"David A Perdue , Jr",UPS,Joint,Sale (Full),12/14/2018
"David A Perdue , Jr",BWXT,Joint,Purchase,12/13/2018
"David A Perdue , Jr",UPS,Joint,Sale (Partial),12/13/2018
"David A Perdue , Jr",WPX,Joint,Purchase,12/13/2018
"David A Perdue , Jr",KN,Joint,Sale (Partial),12/13/2018
"David A Perdue , Jr",MOS,Joint,Sale (Partial),12/13/2018
"David A Perdue , Jr",LGF-B,Joint,Purchase,12/12/2018
"David A Perdue , Jr",GLW,Joint,Sale (Partial),12/12/2018
"David A Perdue , Jr",UPS,Joint,Sale (Partial),12/12/2018
"David A Perdue , Jr",RF,Joint,Purchase,12/12/2018
"David A Perdue , Jr",UPS,Joint,Sale (Partial),12/12/2018
"David A Perdue , Jr",GLW,Joint,Sale (Partial),12/12/2018
"David A Perdue , Jr",BWXT,Joint,Purchase,12/11/2018
"David A Perdue , Jr",GLW,Joint,Sale (Partial),12/11/2018
"David A Perdue , Jr",LGF-B,Joint,Purchase,12/11/2018
"David A Perdue , Jr",--,Joint,Purchase,12/11/2018
"David A Perdue , Jr",LGF-B,Joint,Purchase,12/10/2018
"David A Perdue , Jr",BWXT,Joint,Purchase,12/10/2018
"David A Perdue , Jr",LGF-B,Joint,Purchase,12/7/2018
"David A Perdue , Jr",BWXT,Joint,Purchase,12/7/2018
"David A Perdue , Jr",BWXT,Joint,Purchase,12/7/2018
"David A Perdue , Jr",BWXT,Joint,Purchase,12/6/2018
"David A Perdue , Jr",LGF-B,Joint,Purchase,12/6/2018
"David A Perdue , Jr",LGF-B,Joint,Purchase,12/4/2018
"David A Perdue , Jr",LGF-B,Joint,Purchase,12/4/2018
"David A Perdue , Jr",LGF-B,Joint,Purchase,12/3/2018
Mark R Warner,--,Spouse,Sale (Full),12/24/2018
Mark R Warner,--,Self,Sale (Full),12/24/2018
Mark R Warner,--,Self,Sale (Full),12/19/2018
Mark R Warner,--,Self,Purchase,12/7/2018
Susan M Collins,LIN,Spouse,Sale (Full),12/21/2018
Susan M Collins,FB,Spouse,Sale (Full),12/21/2018
Susan M Collins,XOM,Spouse,Sale (Full),12/21/2018
Susan M Collins,ENB,Spouse,Sale (Full),12/21/2018
Susan M Collins,CFR,Spouse,Sale (Full),12/21/2018
Susan M Collins,STZ,Spouse,Sale (Full),12/21/2018
Susan M Collins,NEE,Spouse,Purchase,12/21/2018
Thomas R Carper,--,Spouse,Purchase,12/19/2018
Thomas R Carper,--,Spouse,Purchase,12/19/2018
Thomas R Carper,--,Spouse,Purchase,12/17/2018
Thomas R Carper,--,Spouse,Sale (Full),12/17/2018
Thomas R Carper,--,Spouse,Sale (Full),12/10/2018
Daniel S Sullivan,GFAFX,Joint,Purchase,12/21/2018
Daniel S Sullivan,MALOX,Joint,Purchase,12/19/2018
Ron L Wyden,--,Spouse,Purchase,11/24/2018
Gary C Peters,--,Self,Purchase,11/16/2018
Sheldon Whitehouse,F,Joint,Sale (Partial),11/19/2018
Sheldon Whitehouse,KHC,Joint,Sale (Full),11/19/2018
Sheldon Whitehouse,IBM,Joint,Sale (Partial),11/19/2018
Sheldon Whitehouse,IBM,Self,Sale (Partial),11/19/2018
Sheldon Whitehouse,AET,Self,Exchange,11/29/2018
"A. Mitchell McConnell, Jr.",WFC,Spouse,Purchase,12/5/2018
James M Inhofe,RTN,Self,Purchase,12/11/2018
James M Inhofe,CELG,Self,Sale (Partial),11/16/2018
James M Inhofe,APTV,Self,Sale (Partial),11/16/2018
James M Inhofe,CELG,Self,Sale (Partial),11/16/2018
James M Inhofe,APTV,Self,Sale (Partial),11/16/2018
John F Reed,HOLX,Self,Purchase,11/28/2018
John F Reed,AGN,Self,Sale (Full),11/28/2018
Shelley M Capito,LIN,Spouse,Exchange,10/31/2018
Shelley M Capito,--,Spouse,Purchase,11/29/2018
Shelley M Capito,QCOM,Spouse,Sale (Full),11/29/2018
Shelley M Capito,IBM,Spouse,Sale (Full),11/29/2018
Shelley M Capito,INCY,Spouse,Sale (Full),11/12/2018
Shelley M Capito,SHECY,Spouse,Sale (Full),11/13/2018
"David A Perdue , Jr",LGF-B,Joint,Purchase,11/30/2018
"David A Perdue , Jr",KMI,Joint,Purchase,11/29/2018
"David A Perdue , Jr",WMB,Joint,Sale (Partial),11/29/2018
"David A Perdue , Jr",GPK,Joint,Purchase,11/28/2018
"David A Perdue , Jr",LGF-B,Joint,Purchase,11/28/2018
"David A Perdue , Jr",--,Joint,Sale (Full),11/28/2018
"David A Perdue , Jr",--,Joint,Sale (Full),11/28/2018
"David A Perdue , Jr",--,Joint,Sale (Full),11/28/2018
"David A Perdue , Jr",--,Joint,Sale (Full),11/28/2018
"David A Perdue , Jr",--,Joint,Sale (Full),11/28/2018
"David A Perdue , Jr",AAPL,Joint,Purchase,11/27/2018
"David A Perdue , Jr",AAPL,Joint,Purchase,11/27/2018
"David A Perdue , Jr",AAPL,Joint,Purchase,11/27/2018
"David A Perdue , Jr",AAPL,Joint,Purchase,11/27/2018
"David A Perdue , Jr",DISCA,Joint,Sale (Full),11/27/2018
"David A Perdue , Jr",DISCA,Joint,Sale (Partial),11/27/2018
"David A Perdue , Jr",LGF-B,Joint,Purchase,11/27/2018
"David A Perdue , Jr",AAPL,Joint,Purchase,11/27/2018
"David A Perdue , Jr",LGF-B,Joint,Purchase,11/27/2018
"David A Perdue , Jr",DISCA,Joint,Sale (Partial),11/26/2018
"David A Perdue , Jr",LGF-B,Joint,Purchase,11/26/2018
"David A Perdue , Jr",DVN,Joint,Sale (Full),11/26/2018
"David A Perdue , Jr",SPY,Joint,Purchase,11/26/2018
"David A Perdue , Jr",HBI,Joint,Sale (Full),11/26/2018
"David A Perdue , Jr",FDC,Joint,Sale (Full),11/26/2018
"David A Perdue , Jr",AXTA,Joint,Sale (Full),11/26/2018
"David A Perdue , Jr",DISCA,Joint,Sale (Partial),11/21/2018
"David A Perdue , Jr",PFE,Joint,Sale (Full),11/20/2018
"David A Perdue , Jr",VLP,Joint,Sale (Partial),11/20/2018
"David A Perdue , Jr",DISCA,Joint,Sale (Partial),11/20/2018
"David A Perdue , Jr",FDC,Joint,Purchase,11/20/2018
"David A Perdue , Jr",DISCA,Joint,Sale (Partial),11/20/2018
"David A Perdue , Jr",LGF-B,Joint,Purchase,11/20/2018
"David A Perdue , Jr",GPK,Joint,Purchase,11/20/2018
"David A Perdue , Jr",MOS,Joint,Sale (Partial),11/20/2018
"David A Perdue , Jr",PFE,Joint,Sale (Partial),11/19/2018
"David A Perdue , Jr",LGF-B,Joint,Purchase,11/19/2018
"David A Perdue , Jr",PFE,Joint,Sale (Partial),11/19/2018
"David A Perdue , Jr",FDC,Joint,Purchase,11/19/2018
"David A Perdue , Jr",FDC,Joint,Purchase,11/19/2018
"David A Perdue , Jr",LGF-B,Joint,Purchase,11/16/2018
"David A Perdue , Jr",FDC,Joint,Purchase,11/15/2018
"David A Perdue , Jr",FDC,Joint,Purchase,11/15/2018
"David A Perdue , Jr",FDC,Joint,Purchase,11/15/2018
"David A Perdue , Jr",VLP,Joint,Sale (Partial),11/14/2018
"David A Perdue , Jr",DISCA,Joint,Sale (Partial),11/14/2018
"David A Perdue , Jr",LGF-B,Joint,Purchase,11/14/2018
"David A Perdue , Jr",MOS,Joint,Sale (Partial),11/14/2018
"David A Perdue , Jr",KN,Joint,Sale (Partial),11/13/2018
"David A Perdue , Jr",DISCA,Joint,Sale (Partial),11/13/2018
"David A Perdue , Jr",LGF-B,Joint,Purchase,11/13/2018
"David A Perdue , Jr",MOS,Joint,Sale (Partial),11/13/2018
"David A Perdue , Jr",MOS,Joint,Sale (Partial),11/13/2018
"David A Perdue , Jr",LGF-B,Joint,Purchase,11/12/2018
"David A Perdue , Jr",PFE,Joint,Sale (Partial),11/12/2018
"David A Perdue , Jr",KN,Joint,Sale (Partial),11/12/2018
"David A Perdue , Jr",LGF-B,Joint,Purchase,11/12/2018
"David A Perdue , Jr",FDC,Joint,Purchase,11/12/2018
"David A Perdue , Jr",FDC,Joint,Purchase,11/12/2018
"David A Perdue , Jr",LGF-B,Joint,Purchase,11/9/2018
"David A Perdue , Jr",PFE,Joint,Sale (Partial),11/9/2018
"David A Perdue , Jr",PFE,Joint,Sale (Partial),11/8/2018
"David A Perdue , Jr",DISCA,Joint,Sale (Partial),11/8/2018
"David A Perdue , Jr",DISCA,Joint,Sale (Partial),11/8/2018
"David A Perdue , Jr",FEYE,Joint,Sale (Partial),11/8/2018
"David A Perdue , Jr",DISCA,Joint,Sale (Partial),11/7/2018
"David A Perdue , Jr",FEYE,Joint,Sale (Partial),11/7/2018
"David A Perdue , Jr",FEYE,Joint,Sale (Partial),11/7/2018
"David A Perdue , Jr",FEYE,Joint,Sale (Partial),11/7/2018
"David A Perdue , Jr",FDC,Joint,Purchase,11/6/2018
"David A Perdue , Jr",DISCA,Joint,Sale (Partial),11/6/2018
"David A Perdue , Jr",PFE,Joint,Sale (Partial),11/5/2018
"David A Perdue , Jr",GPK,Joint,Purchase,11/5/2018
"David A Perdue , Jr",FDC,Joint,Purchase,11/5/2018
"David A Perdue , Jr",MOS,Joint,Sale (Partial),11/5/2018
"David A Perdue , Jr",MOS,Joint,Sale (Partial),11/5/2018
"David A Perdue , Jr",DISCA,Joint,Sale (Partial),11/5/2018
"David A Perdue , Jr",DISCA,Joint,Sale (Partial),11/5/2018
"David A Perdue , Jr",GPK,Joint,Purchase,11/2/2018
"David A Perdue , Jr",PFE,Joint,Sale (Partial),11/2/2018
"David A Perdue , Jr",DISCA,Joint,Sale (Partial),11/2/2018
Thomas R Carper,--,Spouse,Sale (Full),11/21/2018
Thomas R Carper,--,Spouse,Sale (Full),11/21/2018
Thomas R Carper,--,Spouse,Purchase,11/9/2018
Thomas R Carper,--,Spouse,Sale (Full),11/9/2018
Thomas R Carper,--,Spouse,Purchase,11/12/2018
Thomas R Carper,--,Spouse,Sale (Full),11/9/2018
Thomas R Carper,--,Spouse,Purchase,11/9/2018
Thomas R Carper,--,Spouse,Purchase,11/2/2018
"Angus S King, Jr.",SLB,Spouse,Sale (Partial),10/17/2018
Gary C Peters,--,Self,Purchase,11/9/2018
Gary C Peters,GIS,Self,Purchase,11/9/2018
Gary C Peters,--,Self,Purchase,11/9/2018
Gary C Peters,--,Self,Purchase,10/24/2018
Gary C Peters,--,Self,Purchase,10/24/2018
Gary C Peters,GE,Self,Sale (Full),10/30/2018
Gary C Peters,T,Self,Purchase,10/30/2018
Sheldon Whitehouse,LRCX,Spouse,Purchase,10/25/2018
Sheldon Whitehouse,--,Joint,Sale (Full),10/23/2018
Sheldon Whitehouse,NVDA,Joint,Purchase,10/23/2018
Tina Smith,MSTY.PA,Spouse,Purchase,10/30/2018
Tina Smith,MSTY.PA,Spouse,Purchase,10/29/2018
Susan M Collins,AON,Spouse,Sale (Partial),10/31/2018
Susan M Collins,SBUX,Spouse,Sale (Full),10/2/2018
Susan M Collins,PX,Spouse,Exchange,10/31/2018
Susan M Collins,HON,Spouse,Sale (Full),10/16/2018
Susan M Collins,TJX,Spouse,Purchase,10/16/2018
Susan M Collins,AMZN,Spouse,Purchase,10/2/2018
Shelley M Capito,PX,Spouse,Exchange,10/31/2018
Shelley M Capito,JNJ,Spouse,Purchase,10/17/2018
Shelley M Capito,JPM,Spouse,Purchase,10/16/2018
James M Inhofe,AIG,Self,Purchase,11/5/2018
James M Inhofe,GE,Self,Sale (Full),10/31/2018
James M Inhofe,XPO,Self,Purchase,10/25/2018
James M Inhofe,ISRG,Self,Purchase,10/25/2018
James M Inhofe,NTLA,Self,Sale (Full),10/25/2018
James M Inhofe,ALB,Self,Purchase,10/17/2018
James M Inhofe,CRM,Self,Sale (Full),10/11/2018
"David A Perdue , Jr",ETP,Joint,Exchange,10/19/2018
"David A Perdue , Jr",--,Joint,Purchase,11/2/2018
"David A Perdue , Jr",GPK,Joint,Purchase,11/1/2018
"David A Perdue , Jr",CBS,Joint,Sale (Partial),11/1/2018
"David A Perdue , Jr",HBI,Joint,Purchase,11/1/2018
"David A Perdue , Jr",AAPL,Joint,Sale (Partial),11/1/2018
"David A Perdue , Jr",PFE,Joint,Sale (Partial),11/1/2018
"David A Perdue , Jr",AAPL,Joint,Sale (Partial),11/1/2018
"David A Perdue , Jr",PFE,Joint,Sale (Partial),10/31/2018
"David A Perdue , Jr",GPK,Joint,Purchase,10/31/2018
"David A Perdue , Jr",GPK,Joint,Purchase,10/31/2018
"David A Perdue , Jr",FDC,Joint,Purchase,10/30/2018
"David A Perdue , Jr",DISCA,Joint,Sale (Partial),10/30/2018
"David A Perdue , Jr",PFE,Joint,Sale (Partial),10/30/2018
"David A Perdue , Jr",GPK,Joint,Purchase,10/30/2018
"David A Perdue , Jr",FDC,Joint,Purchase,10/30/2018
"David A Perdue , Jr",PFE,Joint,Sale (Partial),10/30/2018
"David A Perdue , Jr",PFE,Joint,Sale (Partial),10/29/2018
"David A Perdue , Jr",DISCA,Joint,Sale (Partial),10/29/2018
"David A Perdue , Jr",MRK,Joint,Sale (Partial),10/29/2018
"David A Perdue , Jr",FDC,Joint,Purchase,10/29/2018
"David A Perdue , Jr",FDC,Joint,Purchase,10/29/2018
"David A Perdue , Jr",MU,Joint,Purchase,10/26/2018
"David A Perdue , Jr",ENTG,Joint,Purchase,10/26/2018
"David A Perdue , Jr",DVN,Joint,Purchase,10/26/2018
"David A Perdue , Jr",MOS,Joint,Sale (Partial),10/25/2018
"David A Perdue , Jr",DISCA,Joint,Sale (Partial),10/25/2018
"David A Perdue , Jr",PG,Joint,Purchase,10/24/2018
"David A Perdue , Jr",JNJ,Joint,Purchase,10/24/2018
"David A Perdue , Jr",CAT,Joint,Purchase,10/24/2018
"David A Perdue , Jr",IP,Joint,Sale (Partial),10/24/2018
"David A Perdue , Jr",WMB,Joint,Sale (Partial),10/24/2018
"David A Perdue , Jr",RF,Joint,Purchase,10/24/2018
"David A Perdue , Jr",VLP,Joint,Sale (Partial),10/23/2018
"David A Perdue , Jr",BAC,Joint,Purchase,10/23/2018
"David A Perdue , Jr",HBI,Joint,Purchase,10/23/2018
"David A Perdue , Jr",RF,Joint,Purchase,10/23/2018
"David A Perdue , Jr",BAC,Joint,Purchase,10/23/2018
"David A Perdue , Jr",DISCA,Joint,Sale (Partial),10/22/2018
"David A Perdue , Jr",DISCA,Joint,Sale (Partial),10/19/2018
"David A Perdue , Jr",DISCA,Joint,Sale (Partial),10/18/2018
"David A Perdue , Jr",DISCA,Joint,Sale (Partial),10/17/2018
"David A Perdue , Jr",BAC,Joint,Purchase,10/15/2018
"David A Perdue , Jr",PFE,Joint,Sale (Partial),10/12/2018
"David A Perdue , Jr",GM,Joint,Purchase,10/10/2018
"David A Perdue , Jr",DVN,Joint,Purchase,10/10/2018
"David A Perdue , Jr",ENTG,Joint,Purchase,10/10/2018
"David A Perdue , Jr",AXTA,Joint,Purchase,10/10/2018
"David A Perdue , Jr",MOS,Joint,Sale (Partial),10/10/2018
"David A Perdue , Jr",MOS,Joint,Sale (Partial),10/9/2018
"David A Perdue , Jr",DISCA,Joint,Sale (Partial),10/9/2018
"David A Perdue , Jr",CZR,Joint,Purchase,10/8/2018
"David A Perdue , Jr",GLW,Joint,Sale (Partial),10/5/2018
"David A Perdue , Jr",DISCA,Joint,Sale (Partial),10/4/2018
"David A Perdue , Jr",MRK,Joint,Sale (Partial),10/3/2018
"David A Perdue , Jr",PFE,Joint,Sale (Partial),10/2/2018
Mark R Warner,--,Self,Purchase,10/19/2018
Thomas R Carper,--,Spouse,Sale (Full),10/29/2018
Thomas R Carper,--,Spouse,Sale (Full),10/29/2018
Thomas R Carper,--,Spouse,Purchase,10/29/2018
Thomas R Carper,--,Spouse,Purchase,10/29/2018
Thomas R Carper,--,Spouse,Sale (Full),10/29/2018
Thomas R Carper,--,Spouse,Purchase,10/29/2018
Thomas R Carper,--,Spouse,Purchase,10/29/2018
Thomas R Carper,--,Spouse,Sale (Full),10/29/2018
Thomas R Carper,--,Spouse,Purchase,10/29/2018
Thomas R Carper,--,Spouse,Purchase,10/29/2018
Thomas R Carper,--,Spouse,Purchase,10/29/2018
Thomas R Carper,--,Spouse,Sale (Full),10/29/2018
Thomas R Carper,--,Spouse,Purchase,10/29/2018
Thomas R Carper,--,Spouse,Purchase,10/29/2018
Thomas R Carper,--,Spouse,Purchase,10/29/2018
Thomas R Carper,--,Spouse,Sale (Full),10/29/2018
Thomas R Carper,--,Spouse,Sale (Full),10/29/2018
Thomas R Carper,--,Spouse,Sale (Full),10/29/2018
Thomas R Carper,--,Spouse,Purchase,10/29/2018
Thomas R Carper,--,Spouse,Purchase,10/29/2018
Thomas R Carper,--,Spouse,Sale (Full),10/29/2018
Thomas R Carper,--,Spouse,Purchase,10/29/2018
Thomas R Carper,--,Spouse,Purchase,10/29/2018
Thomas R Carper,--,Spouse,Purchase,10/29/2018
Thomas R Carper,--,Spouse,Purchase,10/29/2018
Thomas R Carper,--,Spouse,Sale (Full),10/29/2018
Thomas R Carper,--,Spouse,Purchase,10/29/2018
Thomas R Carper,--,Spouse,Purchase,10/29/2018
Thomas R Carper,--,Spouse,Sale (Full),10/29/2018
Thomas R Carper,--,Spouse,Purchase,10/29/2018
Thomas R Carper,--,Spouse,Purchase,10/29/2018
Thomas R Carper,--,Spouse,Sale (Partial),10/29/2018
Thomas R Carper,--,Spouse,Sale (Partial),10/29/2018
Thomas R Carper,--,Spouse,Purchase,10/29/2018
Thomas R Carper,--,Spouse,Sale (Partial),10/29/2018
Thomas R Carper,--,Spouse,Purchase,10/29/2018
Thomas R Carper,--,Spouse,Purchase,10/26/2018
Thomas R Carper,--,Spouse,Purchase,10/26/2018
Thomas R Carper,--,Spouse,Purchase,10/26/2018
Thomas R Carper,--,Spouse,Purchase,10/22/2018
Thomas R Carper,--,Spouse,Purchase,10/12/2018
Thomas R Carper,--,Spouse,Sale (Partial),10/9/2018
Thomas R Carper,--,Spouse,Purchase,10/9/2018
Thomas R Carper,--,Spouse,Sale (Partial),10/9/2018
Thomas R Carper,--,Spouse,Sale (Full),10/9/2018
Thomas R Carper,--,Spouse,Sale (Full),10/9/2018
Thomas R Carper,--,Spouse,Purchase,10/9/2018
Thomas R Carper,--,Spouse,Purchase,10/9/2018
Thomas R Carper,--,Spouse,Purchase,10/9/2018
Thomas R Carper,--,Spouse,Sale (Partial),10/9/2018
Thomas R Carper,--,Spouse,Purchase,10/9/2018
Thomas R Carper,--,Spouse,Purchase,10/9/2018
Thomas R Carper,--,Spouse,Sale (Full),10/9/2018
Thomas R Carper,--,Spouse,Purchase,10/9/2018
Thomas R Carper,--,Spouse,Purchase,10/9/2018
Thomas R Carper,--,Spouse,Purchase,10/9/2018
Thomas R Carper,--,Spouse,Purchase,10/5/2018
Daniel S Sullivan,RPM,Joint,Sale (Partial),10/25/2018
Daniel S Sullivan,IWF,Joint,Sale (Partial),10/2/2018
William Cassidy,TROW,Spouse,Purchase,10/31/2016
William Cassidy,DIS,Spouse,Purchase,10/25/2017
William Cassidy,CVS,Spouse,Purchase,10/25/2017
William Cassidy,T,Spouse,Purchase,10/25/2017
William Cassidy,ABT,Spouse,Sale (Partial),10/24/2017
William Cassidy,MDT,Spouse,Purchase,10/24/2017
William Cassidy,TGT,Spouse,Sale (Full),10/17/2017
Ladda Tammy Duckworth,WBA,Joint,Sale (Full),8/7/2018
Ladda Tammy Duckworth,MDLZ,Joint,Sale (Full),8/7/2018
Ladda Tammy Duckworth,GE,Joint,Sale (Full),8/7/2018
Pat Roberts,WMT,Spouse,Purchase,10/12/2018
Pat Roberts,FB,Spouse,Purchase,10/12/2018
Sheldon Whitehouse,F,Joint,Purchase,9/7/2018
Sheldon Whitehouse,ON,Self,Sale (Full),9/28/2018
John Hoeven,--,Self,Purchase,10/15/2018
Shelley M Capito,GILD,Self,Purchase,9/25/2018
Shelley M Capito,QCOM,Spouse,Sale (Partial),9/27/2018
Shelley M Capito,WAB,Spouse,Purchase,9/27/2018
Patrick J Toomey,IBKC,Self,Sale (Full),5/7/2015
Patrick J Toomey,IBKC,Self,Sale (Partial),5/6/2015
Patrick J Toomey,PG,Joint,Purchase,4/27/2015
James M Inhofe,GE,Self,Purchase,10/10/2018
James M Inhofe,GOOGL,Self,Sale (Partial),10/9/2018
James M Inhofe,LEA,Self,Sale (Full),10/8/2018
James M Inhofe,APTV,Self,Purchase,10/8/2018
James M Inhofe,XPO,Self,Sale (Full),9/28/2018
Mark R Warner,--,Self,Purchase,9/7/2018
Gary C Peters,--,Self,Purchase,9/24/2018
Gary C Peters,--,Self,Purchase,9/27/2018
Daniel S Sullivan,RPM,Joint,Sale (Partial),9/25/2018
Patrick J Toomey,TBT,Joint,Sale (Full),9/25/2018
