senator,ticker,owner,type,transaction_date
"David A Perdue , Jr",M,Joint,Purchase,3/20/2020
"David A Perdue , Jr",BAC,Joint,Purchase,3/23/2020
"David A Perdue , Jr",BOIVF,Joint,Purchase,3/23/2020
"David A Perdue , Jr",SBUX,Joint,Purchase,3/23/2020
"David A Perdue , Jr",BAC,Joint,Purchase,3/23/2020
"David A Perdue , Jr",SBUX,Joint,Purchase,3/23/2020
"David A Perdue , Jr",RL,Joint,Purchase,3/23/2020
"David A Perdue , Jr",SBUX,Joint,Purchase,3/24/2020
"David A Perdue , Jr",BOIVF,Joint,Purchase,3/24/2020
"David A Perdue , Jr",BOIVF,Joint,Purchase,3/25/2020
"David A Perdue , Jr",DOW,Joint,Purchase,3/26/2020
"David A Perdue , Jr",NFLX,Joint,Purchase,3/26/2020
"David A Perdue , Jr",TRP,Joint,Purchase,3/26/2020
"David A Perdue , Jr",BOIVF,Joint,Purchase,3/26/2020
"David A Perdue , Jr",WMB,Joint,Purchase,3/26/2020
"David A Perdue , Jr",LNG,Joint,Purchase,3/26/2020
"David A Perdue , Jr",ORCL,Joint,Sale (Partial),3/27/2020
"David A Perdue , Jr",BOIVF,Joint,Purchase,3/27/2020
"David A Perdue , Jr",VIAC,Joint,Sale (Partial),3/27/2020
"David A Perdue , Jr",MU,Joint,Purchase,3/27/2020
"David A Perdue , Jr",GPK,Joint,Sale (Partial),3/27/2020
"David A Perdue , Jr",SBUX,Joint,Purchase,3/27/2020
"David A Perdue , Jr",MU,Joint,Purchase,3/27/2020
"David A Perdue , Jr",GPK,Joint,Sale (Partial),3/30/2020
"David A Perdue , Jr",MU,Joint,Purchase,3/30/2020
"David A Perdue , Jr",MU,Joint,Purchase,3/30/2020
John Hoeven,--,Self,Purchase,4/2/2020
Thomas R Carper,VZ,Spouse,Purchase,3/24/2020
Thomas R Carper,SPY,Spouse,Purchase,3/23/2020
Thomas R Carper,CEF,Spouse,Purchase,3/23/2020
Thomas R Carper,DIS,Spouse,Purchase,3/27/2020
Thomas R Carper,SWKS,Spouse,Purchase,3/27/2020
Thomas R Carper,CVS,Spouse,Purchase,3/27/2020
Thomas R Carper,PYPL,Spouse,Purchase,3/27/2020
Thomas R Carper,--,Spouse,Sale (Full),3/24/2020
Thomas R Carper,VOD,Spouse,Sale (Full),3/24/2020
Thomas R Carper,MPC,Spouse,Sale (Full),3/24/2020
Thomas R Carper,WFC,Spouse,Sale (Full),3/24/2020
Thomas R Carper,CSCO,Spouse,Purchase,3/24/2020
Thomas R Carper,ABBV,Spouse,Purchase,3/24/2020
Thomas R Carper,JPM,Spouse,Purchase,3/24/2020
Kelly Loeffler,DD,Spouse,Sale (Full),2/21/2020
Kelly Loeffler,K,Spouse,Sale (Full),2/21/2020
Kelly Loeffler,BABA,Spouse,Sale (Full),2/21/2020
Kelly Loeffler,AIZ,Spouse,Sale (Full),2/20/2020
