transaction_date,owner,ticker,asset_description,asset_type,type,amount,comment,senator,ptr_link
11/07/2019,Joint,ACA,"Arcosa, Inc.",Stock,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/685385cc-d42d-46bd-a28d-ddc0a76dd675/
11/06/2019,Joint,BOIVF,Bollore,Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/685385cc-d42d-46bd-a28d-ddc0a76dd675/
11/04/2019,Joint,BOIVF,Bollore,Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/685385cc-d42d-46bd-a28d-ddc0a76dd675/
11/04/2019,Joint,--,"MUNICIPAL ELEC AUTH GA REV <div class=""text-muted""><em>Rate/Coupon:</em> 5%<br> <em>Matures:</em> 01/01/2020</div>",Municipal Security,Sale (Full),"$250,001 - $500,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/685385cc-d42d-46bd-a28d-ddc0a76dd675/
11/01/2019,Joint,--,"MILTON GA PUB BLDGS &amp; FACS REV <div class=""text-muted""><em>Rate/Coupon:</em> 5%<br> <em>Matures:</em> 12/01/2026</div>",Municipal Security,Purchase,"$250,001 - $500,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/685385cc-d42d-46bd-a28d-ddc0a76dd675/
11/01/2019,Joint,--,"FORSYTH CNTY GA SCH DIST GO <div class=""text-muted""><em>Rate/Coupon:</em> 5.0<br> <em>Matures:</em> 02/01/2026</div>",Municipal Security,Purchase,"$250,001 - $500,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/685385cc-d42d-46bd-a28d-ddc0a76dd675/
11/08/2019,Spouse,--,"BCS Contingent Autocall BMY <div class=""text-muted""><em>Rate/Coupon:</em> 9.0%<br> <em>Matures:</em> 11/14/2022</div>",Corporate Bond,Purchase,"$15,001 - $50,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/e06096a5-0e93-4cb4-b6e0-301a4327ea70/
11/08/2019,Spouse,--,"BCS Contingent Autocall BMY <div class=""text-muted""><em>Rate/Coupon:</em> 9.0%<br> <em>Matures:</em> 11/14/2022</div>",Corporate Bond,Purchase,"$15,001 - $50,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/e06096a5-0e93-4cb4-b6e0-301a4327ea70/
11/07/2019,Spouse,--,"CS Contingent Autocall GE <div class=""text-muted""><em>Rate/Coupon:</em> 14%<br> <em>Matures:</em> 02/06/2020</div>",Corporate Bond,Sale (Full),"$15,001 - $50,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/e06096a5-0e93-4cb4-b6e0-301a4327ea70/
11/07/2019,Spouse,--,"CS Contingent Autocall GE <div class=""text-muted""><em>Rate/Coupon:</em> 14%<br> <em>Matures:</em> 02/06/2020</div>",Corporate Bond,Sale (Full),"$15,001 - $50,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/e06096a5-0e93-4cb4-b6e0-301a4327ea70/
11/04/2019,Spouse,MCD,McDonald's Corporation,Stock,Purchase,"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/e06096a5-0e93-4cb4-b6e0-301a4327ea70/
11/04/2019,Spouse,RTN,Raytheon Company,Stock,Purchase,"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/e06096a5-0e93-4cb4-b6e0-301a4327ea70/
11/04/2019,Spouse,MO,"Altria Group, Inc.",Stock,Sale (Full),"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/e06096a5-0e93-4cb4-b6e0-301a4327ea70/
11/04/2019,Spouse,TSM,Taiwan Semiconductor Manufacturing Company Limited,Stock,Purchase,"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/e06096a5-0e93-4cb4-b6e0-301a4327ea70/
11/04/2019,Spouse,DRI,"Darden Restaurants, Inc.",Stock,Purchase,"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/e06096a5-0e93-4cb4-b6e0-301a4327ea70/
11/27/2019,Joint,PAGP,"Plains GP Holdings, L.P.",Stock,Sale (Full),"$1,001 - $15,000",--,Rafael E Cruz,https://efdsearch.senate.gov/search/view/ptr/f2b74022-dcf0-485b-8fbe-187feefadac6/
11/12/2019,Spouse,MA,Mastercard Incorporated,Stock,Purchase,"$15,001 - $50,000",R,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/74d7fcde-e861-476e-9258-561874fb23cc/
11/04/2019,Spouse,NOC,Northrop Grumman Corporation,Stock,Purchase,"$15,001 - $50,000",R,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/74d7fcde-e861-476e-9258-561874fb23cc/
11/04/2019,Spouse,NOC,Northrop Grumman Corporation,Stock,Purchase,"$15,001 - $50,000",R,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/74d7fcde-e861-476e-9258-561874fb23cc/
11/04/2019,Spouse,DIS,The Walt Disney Company,Stock,Purchase,"$1,001 - $15,000",R,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/74d7fcde-e861-476e-9258-561874fb23cc/
11/13/2019,Self,--,"GEORGIA POWER CO B/E 02.650% 091529 DTD091019 <div class=""text-muted""><em>Rate/Coupon:</em> 02.650%<br> <em>Matures:</em> 09/15/2029</div>",Corporate Bond,Purchase,"$1,001 - $15,000",--,Gary C Peters,https://efdsearch.senate.gov/search/view/ptr/25c4bc94-c83d-4349-a5f5-6cd34744828c/
11/05/2019,Self,IVZ,Invesco Ltd.,Stock,Purchase,"$50,001 - $100,000",--,John Hoeven,https://efdsearch.senate.gov/search/view/ptr/efda208f-8afc-48d9-938e-5cb8e6bfc988/
11/05/2019,Self,XOM,Exxon Mobil Corporation,Stock,Purchase,"$50,001 - $100,000",--,John Hoeven,https://efdsearch.senate.gov/search/view/ptr/efda208f-8afc-48d9-938e-5cb8e6bfc988/
11/04/2019,Self,TWO,Two Harbors Investment Corp.,Stock,Purchase,"$50,001 - $100,000",--,John Hoeven,https://efdsearch.senate.gov/search/view/ptr/efda208f-8afc-48d9-938e-5cb8e6bfc988/
11/04/2019,Self,XOM,Exxon Mobil Corporation,Stock,Purchase,"$50,001 - $100,000",--,John Hoeven,https://efdsearch.senate.gov/search/view/ptr/efda208f-8afc-48d9-938e-5cb8e6bfc988/
11/04/2019,Self,EXC,Exelon Corporation,Stock,Purchase,"$50,001 - $100,000",--,John Hoeven,https://efdsearch.senate.gov/search/view/ptr/efda208f-8afc-48d9-938e-5cb8e6bfc988/
11/04/2019,Self,CVX,Chevron Corporation,Stock,Purchase,"$50,001 - $100,000",--,John Hoeven,https://efdsearch.senate.gov/search/view/ptr/efda208f-8afc-48d9-938e-5cb8e6bfc988/
11/07/2019,Spouse,--,"Corpus Christi Tex Indpt Sch D Ultd Tax Bldg <div class=""text-muted""><em>Rate/Coupon:</em> 4.00%<br> <em>Matures:</em> 08/15/2032</div>",Municipal Security,Purchase,"$15,001 - $50,000",--,Lamar Alexander,https://efdsearch.senate.gov/search/view/ptr/b0d7fbcc-0fb9-4b35-8f0f-0ab2f58e781e/
10/31/2018,Joint,BBT,"BB&amp;T Corporation <div class=""text-muted""><em>Rate/Coupon:</em> 5.25%<br> <em>Matures:</em> 11/01/2019</div>",Corporate Bond,Sale (Full),"$15,001 - $50,000",--,Patrick J Toomey,https://efdsearch.senate.gov/search/view/ptr/3dd9dbd6-91d8-4e1e-ad52-9193a3ae0d30/
10/19/2018,Self,ETP,"Energy Transfer Partners, L.P. (Exchanged) <br> Energy Transfer LP (Received)",Stock,Exchange,"$1,001 - $15,000",--,Patrick J Toomey,https://efdsearch.senate.gov/search/view/ptr/3dd9dbd6-91d8-4e1e-ad52-9193a3ae0d30/
08/01/2018,Self,--,"SANTANDER UK GROUP HOLDINGS <div class=""text-muted""><em>Rate/Coupon:</em> 3.125<br> <em>Matures:</em> 01/08/2021</div>",Corporate Bond,Purchase,"$15,001 - $50,000",--,Patrick J Toomey,https://efdsearch.senate.gov/search/view/ptr/8c05e0b3-a896-40b5-9ab9-9579d238cee5/
08/01/2018,Joint,BBT,"BB&amp;T Corporation <div class=""text-muted""><em>Rate/Coupon:</em> 5.25<br> <em>Matures:</em> 11/01/2019</div>",Corporate Bond,Purchase,"$15,001 - $50,000",--,Patrick J Toomey,https://efdsearch.senate.gov/search/view/ptr/8c05e0b3-a896-40b5-9ab9-9579d238cee5/
11/06/2019,Self,--,"Texas A&amp;M University Perm Univ Fd Bond <div class=""text-muted""><em>Rate/Coupon:</em> 5.0%<br> <em>Matures:</em> 07/01/2025</div>",Municipal Security,Sale (Full),"$250,001 - $500,000",--,Rick Scott,https://efdsearch.senate.gov/search/view/ptr/e9f8ce31-2155-4723-8380-51f438de474c/
11/06/2019,Self,--,"New York City NY Transition Fin Auth Bldg Revenue Bond <div class=""text-muted""><em>Rate/Coupon:</em> 5.0%<br> <em>Matures:</em> 07/15/2023</div>",Municipal Security,Sale (Full),"$250,001 - $500,000",--,Rick Scott,https://efdsearch.senate.gov/search/view/ptr/e9f8ce31-2155-4723-8380-51f438de474c/
10/18/2019,Spouse,--,"Greater Orlando Aviation Authority Revenue Bond <div class=""text-muted""><em>Rate/Coupon:</em> 5.0%<br> <em>Matures:</em> 10/01/2038</div>",Municipal Security,Purchase,"$500,001 - $1,000,000",--,Rick Scott,https://efdsearch.senate.gov/search/view/ptr/e9f8ce31-2155-4723-8380-51f438de474c/
10/18/2019,Spouse,--,"Greater Orlando Aviation Authority Revenue Bond <div class=""text-muted""><em>Rate/Coupon:</em> 5.0%<br> <em>Matures:</em> 10/01/2038</div>",Municipal Security,Purchase,"$500,001 - $1,000,000",--,Rick Scott,https://efdsearch.senate.gov/search/view/ptr/e9f8ce31-2155-4723-8380-51f438de474c/
10/18/2019,Spouse,--,"Greater Orlando Aviation Authority Revenue Bond <div class=""text-muted""><em>Rate/Coupon:</em> 5.0%<br> <em>Matures:</em> 10/01/2038</div>",Municipal Security,Purchase,"$100,001 - $250,000",--,Rick Scott,https://efdsearch.senate.gov/search/view/ptr/e9f8ce31-2155-4723-8380-51f438de474c/
10/23/2019,Spouse,--,"San Antonio Texas Electric &amp; Gas Revenue Bond <div class=""text-muted""><em>Rate/Coupon:</em> 5.0%<br> <em>Matures:</em> 02/01/2035</div>",Municipal Security,Purchase,"$500,001 - $1,000,000",--,Rick Scott,https://efdsearch.senate.gov/search/view/ptr/e9f8ce31-2155-4723-8380-51f438de474c/
10/23/2019,Spouse,--,"San Antonio Texas Electric &amp; Gas Revenue Bond <div class=""text-muted""><em>Rate/Coupon:</em> 5.0%<br> <em>Matures:</em> 02/01/2035</div>",Municipal Security,Purchase,"$500,001 - $1,000,000",--,Rick Scott,https://efdsearch.senate.gov/search/view/ptr/e9f8ce31-2155-4723-8380-51f438de474c/
10/24/2019,Spouse,--,"San Antonio Texas Electric &amp; Gas Revenue Bond <div class=""text-muted""><em>Rate/Coupon:</em> 5.0%<br> <em>Matures:</em> 02/01/2035</div>",Municipal Security,Purchase,"$500,001 - $1,000,000",--,Rick Scott,https://efdsearch.senate.gov/search/view/ptr/e9f8ce31-2155-4723-8380-51f438de474c/
10/11/2019,Self,--,"Metropolitan Transportation Auth NY Revenue BANS Bond <div class=""text-muted""><em>Rate/Coupon:</em> 4.0%<br> <em>Matures:</em> 09/01/2020</div>",Municipal Security,Purchase,"$100,001 - $250,000",--,Rick Scott,https://efdsearch.senate.gov/search/view/ptr/e9f8ce31-2155-4723-8380-51f438de474c/
10/16/2019,Self,--,"City of Atlanta Georgia Airport General Obligation Bond <div class=""text-muted""><em>Rate/Coupon:</em> 4.0%<br> <em>Matures:</em> 07/01/2038</div>",Municipal Security,Purchase,"$100,001 - $250,000",--,Rick Scott,https://efdsearch.senate.gov/search/view/ptr/e9f8ce31-2155-4723-8380-51f438de474c/
10/11/2019,Spouse,--,"Metropolitan Transportation Auth NY Revenue BANS Bond <div class=""text-muted""><em>Rate/Coupon:</em> 4.0%<br> <em>Matures:</em> 09/01/2020</div>",Municipal Security,Purchase,"$500,001 - $1,000,000",--,Rick Scott,https://efdsearch.senate.gov/search/view/ptr/e9f8ce31-2155-4723-8380-51f438de474c/
10/16/2019,Spouse,--,"South Carolina ST Ports Authority Revenue Bond <div class=""text-muted""><em>Rate/Coupon:</em> 5.0%<br> <em>Matures:</em> 07/01/2038</div>",Municipal Security,Purchase,"$500,001 - $1,000,000",--,Rick Scott,https://efdsearch.senate.gov/search/view/ptr/e9f8ce31-2155-4723-8380-51f438de474c/
10/16/2019,Spouse,--,"City of Atlanta Georgia Airport General Obligation Bond <div class=""text-muted""><em>Rate/Coupon:</em> 4.0%<br> <em>Matures:</em> 07/01/2038</div>",Municipal Security,Purchase,"$500,001 - $1,000,000",--,Rick Scott,https://efdsearch.senate.gov/search/view/ptr/e9f8ce31-2155-4723-8380-51f438de474c/
10/16/2019,Spouse,--,"Texas Water Dev Brd Revenue Bond <div class=""text-muted""><em>Rate/Coupon:</em> 5.0%<br> <em>Matures:</em> 10/15/2040</div>",Municipal Security,Purchase,"$250,001 - $500,000",--,Rick Scott,https://efdsearch.senate.gov/search/view/ptr/e9f8ce31-2155-4723-8380-51f438de474c/
10/16/2019,Spouse,--,"South Carolina ST Ports Authority Revenue Bond <div class=""text-muted""><em>Rate/Coupon:</em> 5.0%<br> <em>Matures:</em> 07/01/2038</div>",Municipal Security,Purchase,"$500,001 - $1,000,000",--,Rick Scott,https://efdsearch.senate.gov/search/view/ptr/e9f8ce31-2155-4723-8380-51f438de474c/
10/16/2019,Spouse,--,"City of Atlanta Georgia Airport General Obligation Bond <div class=""text-muted""><em>Rate/Coupon:</em> 4.0%<br> <em>Matures:</em> 07/01/2038</div>",Municipal Security,Purchase,"$500,001 - $1,000,000",--,Rick Scott,https://efdsearch.senate.gov/search/view/ptr/e9f8ce31-2155-4723-8380-51f438de474c/
10/11/2019,Spouse,--,"Metropolitan Transportation Auth NY Revenue BANS Bond <div class=""text-muted""><em>Rate/Coupon:</em> 4.0%<br> <em>Matures:</em> 09/01/2020</div>",Municipal Security,Purchase,"$500,001 - $1,000,000",--,Rick Scott,https://efdsearch.senate.gov/search/view/ptr/e9f8ce31-2155-4723-8380-51f438de474c/
10/11/2019,Spouse,--,"Metropolitan Transportation Auth NY Revenue BANS Bond <div class=""text-muted""><em>Rate/Coupon:</em> 4.0%<br> <em>Matures:</em> 09/01/2020</div>",Municipal Security,Purchase,"$500,001 - $1,000,000",--,Rick Scott,https://efdsearch.senate.gov/search/view/ptr/e9f8ce31-2155-4723-8380-51f438de474c/
10/15/2019,Spouse,MSFT,Microsoft Corporation,Stock,Sale (Partial),"$1,001 - $15,000",--,Shelley M Capito,https://efdsearch.senate.gov/search/view/ptr/f338e466-4bf9-4c6f-a70a-4d25208b0c5e/
10/22/2019,Self,--,"Quadbridge HML Venture, LLC <div class=""text-muted""> <em>Company:</em> Quadbridge HML Venture, LLC &nbsp;(Charlotte, NC) </div> <div class=""text-muted""><em>Description:</em>&nbsp;Real Estate</div>",Other Securities,Sale (Full),"$500,001 - $1,000,000","Underlying asset of Echo Bridge Realty Fund I, LP",Mark R Warner,https://efdsearch.senate.gov/search/view/ptr/845d7e7a-0c6a-405a-96c0-2602552222f4/
10/28/2019,Self,--,"Blackridge Financial, Inc. <div class=""text-muted""> <em>Company:</em> Blackridge Financial, Inc. &nbsp;(West Fargo, ND) </div> <div class=""text-muted""><em>Description:</em>&nbsp;Bank holding company of Blackridge bank.</div>",Non-Public Stock,Purchase,"$5,000,001 - $25,000,000",--,John Hoeven,https://efdsearch.senate.gov/search/view/ptr/16a9d121-1b14-4ad9-90a1-e28a477e6df6/
10/08/2019,Joint,RPM,RPM International Inc.,Stock,Sale (Partial),"$15,001 - $50,000",--,Daniel S Sullivan,https://efdsearch.senate.gov/search/view/ptr/1a744b68-61f5-4313-9eb4-533bd2f33aee/
10/29/2019,Joint,ALB,Albemarle Corporation,Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/3000341a-63cf-4512-876d-9bf80a74eaf7/
10/23/2019,Joint,NFLX,"Netflix, Inc.",Stock,Sale (Full),"$15,001 - $50,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/3000341a-63cf-4512-876d-9bf80a74eaf7/
10/28/2019,Joint,PEP,"PepsiCo, Inc.",Stock,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/3000341a-63cf-4512-876d-9bf80a74eaf7/
10/28/2019,Joint,AAPL,Apple Inc.,Stock,Sale (Partial),"$15,001 - $50,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/3000341a-63cf-4512-876d-9bf80a74eaf7/
10/28/2019,Joint,AAPL,Apple Inc.,Stock,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/3000341a-63cf-4512-876d-9bf80a74eaf7/
10/28/2019,Joint,ALB,Albemarle Corporation,Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/3000341a-63cf-4512-876d-9bf80a74eaf7/
10/29/2019,Joint,DIS,The Walt Disney Company,Stock,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/3000341a-63cf-4512-876d-9bf80a74eaf7/
10/30/2019,Joint,TCP,"TC PipeLines, LP",Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/3000341a-63cf-4512-876d-9bf80a74eaf7/
10/31/2019,Joint,ALB,Albemarle Corporation,Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/3000341a-63cf-4512-876d-9bf80a74eaf7/
09/30/2019,Joint,EAF,GrafTech International Ltd.,Stock,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/3000341a-63cf-4512-876d-9bf80a74eaf7/
09/30/2019,Joint,MSFT,Microsoft Corporation,Stock,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/3000341a-63cf-4512-876d-9bf80a74eaf7/
09/30/2019,Joint,COP,ConocoPhillips Company,Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/3000341a-63cf-4512-876d-9bf80a74eaf7/
09/30/2019,Joint,STT,State Street Corporation,Stock,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/3000341a-63cf-4512-876d-9bf80a74eaf7/
09/30/2019,Joint,PG,The Procter &amp; Gamble Company,Stock,Sale (Partial),"$15,001 - $50,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/3000341a-63cf-4512-876d-9bf80a74eaf7/
09/30/2019,Joint,DIS,The Walt Disney Company,Stock,Sale (Partial),"$15,001 - $50,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/3000341a-63cf-4512-876d-9bf80a74eaf7/
09/30/2019,Joint,USB,U.S. Bancorp,Stock,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/3000341a-63cf-4512-876d-9bf80a74eaf7/
09/30/2019,Joint,KO,The Coca-Cola Company,Stock,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/3000341a-63cf-4512-876d-9bf80a74eaf7/
09/30/2019,Joint,MSM,"MSC Industrial Direct Co., Inc.",Stock,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/3000341a-63cf-4512-876d-9bf80a74eaf7/
09/30/2019,Joint,PEP,"PepsiCo, Inc.",Stock,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/3000341a-63cf-4512-876d-9bf80a74eaf7/
09/30/2019,Joint,XOM,Exxon Mobil Corporation,Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/3000341a-63cf-4512-876d-9bf80a74eaf7/
09/30/2019,Joint,NWSA,News Corporation,Stock,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/3000341a-63cf-4512-876d-9bf80a74eaf7/
09/30/2019,Joint,SYK,Stryker Corporation,Stock,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/3000341a-63cf-4512-876d-9bf80a74eaf7/
09/30/2019,Joint,BOIVF,Bollore,Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/3000341a-63cf-4512-876d-9bf80a74eaf7/
09/30/2019,Joint,ORCL,Oracle Corporation,Stock,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/3000341a-63cf-4512-876d-9bf80a74eaf7/
09/30/2019,Joint,FOX,Fox Corporation,Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/3000341a-63cf-4512-876d-9bf80a74eaf7/
09/30/2019,Joint,BK,The Bank of New York Mellon Corporation,Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/3000341a-63cf-4512-876d-9bf80a74eaf7/
09/30/2019,Joint,BKNG,Booking Holdings Inc.,Stock,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/3000341a-63cf-4512-876d-9bf80a74eaf7/
09/30/2019,Joint,ANTM,"Anthem, Inc.",Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/3000341a-63cf-4512-876d-9bf80a74eaf7/
09/30/2019,Joint,SYY,Sysco Corporation,Stock,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/3000341a-63cf-4512-876d-9bf80a74eaf7/
09/30/2019,Joint,UHAL,AMERCO,Stock,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/3000341a-63cf-4512-876d-9bf80a74eaf7/
10/01/2019,Joint,CBS,CBS Corporation,Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/3000341a-63cf-4512-876d-9bf80a74eaf7/
10/01/2019,Joint,ENTG,"Entegris, Inc.",Stock,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/3000341a-63cf-4512-876d-9bf80a74eaf7/
10/01/2019,Joint,CBS,CBS Corporation,Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/3000341a-63cf-4512-876d-9bf80a74eaf7/
10/02/2019,Joint,IP,International Paper Company,Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/3000341a-63cf-4512-876d-9bf80a74eaf7/
10/10/2019,Joint,PBA,Pembina Pipeline Corporation,Stock,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/3000341a-63cf-4512-876d-9bf80a74eaf7/
10/11/2019,Joint,SPY,SPDR S&amp;P 500 ETF,Stock,Purchase,"$15,001 - $50,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/3000341a-63cf-4512-876d-9bf80a74eaf7/
10/11/2019,Joint,CTSH,Cognizant Technology Solutions Corporation,Stock,Sale (Full),"$15,001 - $50,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/3000341a-63cf-4512-876d-9bf80a74eaf7/
10/11/2019,Joint,XOM,Exxon Mobil Corporation,Stock,Sale (Full),"$15,001 - $50,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/3000341a-63cf-4512-876d-9bf80a74eaf7/
10/11/2019,Joint,RF,Regions Financial Corporation,Stock,Sale (Partial),"$100,001 - $250,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/3000341a-63cf-4512-876d-9bf80a74eaf7/
10/11/2019,Joint,MOS,The Mosaic Company,Stock,Sale (Full),"$15,001 - $50,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/3000341a-63cf-4512-876d-9bf80a74eaf7/
10/11/2019,Joint,DVN,Devon Energy Corporation,Stock,Sale (Full),"$100,001 - $250,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/3000341a-63cf-4512-876d-9bf80a74eaf7/
10/11/2019,Joint,CBS,CBS Corporation,Stock,Sale (Full),"$100,001 - $250,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/3000341a-63cf-4512-876d-9bf80a74eaf7/
10/11/2019,Joint,SPY,SPDR S&amp;P 500 ETF,Stock,Purchase,"$500,001 - $1,000,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/3000341a-63cf-4512-876d-9bf80a74eaf7/
10/11/2019,Joint,LGF-B,Lions Gate Entertainment Corp.,Stock,Sale (Full),"$50,001 - $100,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/3000341a-63cf-4512-876d-9bf80a74eaf7/
10/11/2019,Joint,FDX,FedEx Corporation,Stock,Sale (Full),"$100,001 - $250,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/3000341a-63cf-4512-876d-9bf80a74eaf7/
10/15/2019,Joint,NWSA,News Corporation,Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/3000341a-63cf-4512-876d-9bf80a74eaf7/
10/16/2019,Joint,NWSA,News Corporation,Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/3000341a-63cf-4512-876d-9bf80a74eaf7/
10/17/2019,Joint,TRGP,Targa Resources Corp.,Stock,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/3000341a-63cf-4512-876d-9bf80a74eaf7/
10/18/2019,Joint,ENTG,"Entegris, Inc.",Stock,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/3000341a-63cf-4512-876d-9bf80a74eaf7/
10/23/2019,Joint,DOW,Dow Inc.,Stock,Sale (Partial),"$15,001 - $50,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/3000341a-63cf-4512-876d-9bf80a74eaf7/
10/23/2019,Joint,RF,Regions Financial Corporation,Stock,Sale (Full),"$15,001 - $50,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/3000341a-63cf-4512-876d-9bf80a74eaf7/
10/23/2019,Joint,PAA,"Plains All American Pipeline, L.P.",Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/3000341a-63cf-4512-876d-9bf80a74eaf7/
